program_name,test_file,usable,llm_test_file,builds,passes,coverage_before,coverage_after,coverage_delta,kept,discard_reason
keras_1,test_loss_masking.py,True,,,,7,,,,
keras_2,test_loss_masking.py,True,,,,7,,,,
keras_3,test_loss_masking.py,True,,,,7,,,,
keras_4,test_loss_masking.py,True,,,,7,,,,
keras_5,test_loss_masking.py,True,,,,7,,,,
keras_6,test_loss_masking.py,True,,,,7,,,,
keras_7,test_loss_masking.py,True,,,,7,,,,
keras_8,test_loss_masking.py,True,,,,7,,,,
keras_9,test_loss_masking.py,True,,,,7,,,,
keras_10,test_loss_masking.py,True,,,,7,,,,
keras_11,test_loss_masking.py,True,,,,7,,,,
keras_12,test_loss_masking.py,True,,,,7,,,,
keras_13,test_loss_masking.py,True,,,,7,,,,
keras_14,test_loss_masking.py,True,,,,7,,,,
keras_15,test_loss_masking.py,True,,,,7,,,,
keras_16,test_loss_masking.py,True,,,,7,,,,
keras_17,test_loss_masking.py,True,,,,7,,,,
keras_18,test_loss_masking.py,True,,,,7,,,,
keras_19,test_loss_masking.py,True,,,,7,,,,
keras_20,test_loss_masking.py,True,,,,7,,,,
keras_21,test_loss_masking.py,True,,,,7,,,,
keras_22,test_loss_masking.py,True,,,,7,,,,
keras_23,test_loss_masking.py,True,,,,7,,,,
keras_24,test_loss_masking.py,True,,,,7,,,,
keras_25,test_loss_masking.py,True,,,,7,,,,
keras_26,test_loss_masking.py,True,,,,7,,,,
keras_27,test_loss_masking.py,True,,,,7,,,,
keras_28,test_loss_masking.py,True,,,,7,,,,
keras_29,test_loss_masking.py,True,,,,7,,,,
keras_30,test_loss_masking.py,True,,,,7,,,,
keras_31,test_loss_masking.py,True,,,,7,,,,
keras_32,test_loss_masking.py,True,,,,7,,,,
keras_33,test_loss_masking.py,True,,,,7,,,,
keras_34,test_loss_masking.py,True,,,,7,,,,
keras_35,test_loss_masking.py,True,,,,7,,,,
keras_36,test_loss_masking.py,True,,,,7,,,,
keras_37,test_loss_masking.py,True,,,,7,,,,
keras_38,test_loss_masking.py,True,,,,7,,,,
keras_39,test_loss_masking.py,True,,,,7,,,,
keras_40,test_loss_masking.py,True,,,,7,,,,
keras_41,test_loss_masking.py,True,,,,7,,,,
keras_42,test_loss_masking.py,True,,,,7,,,,
keras_43,test_loss_masking.py,True,,,,7,,,,
keras_44,test_loss_masking.py,True,,,,7,,,,
keras_45,test_loss_masking.py,True,,,,7,,,,
